FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
2309,3,239,ECU,3,BOG,11,0,580,1,2,2,8,2,8484200000,11,11,U,4,31,27,3600,14065956,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,1,1,7117190000,11,33,KG,524,534,524,66304,263187173,44240.27,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,1,2,3004201900,85,33,KG,805,922,805,61107,240043795,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,1,2,3004902900,11,33,KG,108,118,108,17820,73047744,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,1,2,7117190000,11,33,KG,12,12,12,1043,4238084,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,1,2106902900,11,33,KG,13,13,13,1714,6766492,1713.6,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,1,2106907200,11,33,KG,235,247,235,25546,100874280,25546.2,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,1,2106907300,11,33,KG,60,63,60,4928,19459983,4928.2,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,1,2106907400,11,33,KG,744,783,744,62697,247570933,62696.82,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,1,2106907900,11,33,KG,1740,1832,1740,176019,695047805,176019.4,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,1,2936270000,11,33,KG,15,16,15,1778,7019999,1777.8,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,1,3004902900,11,33,KG,723,982,723,33558,131418265,30943.19,1783.16,8.43,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,1,3304990000,11,33,KG,24,25,24,1728,6823354,1728.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,1,8532250000,11,11,U,2000,113,111,2088,8245280,1700.44,350.0,4.99,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,602909000,11,11,U,390500,6427,5643,44601,178301203,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,1704909000,11,33,KG,1229,1283,1229,11727,47909641,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,2106907400,11,33,KG,9015,11052,9015,134931,530059765,0.0,12243.37,44.53,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,2816100000,11,33,KG,320,336,320,824,3348209,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,2933699000,11,33,KG,180,193,180,32691,128417516,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,2936293000,11,33,KG,75,79,75,958,3890667,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,3004101000,11,33,KG,5203,5915,5203,208721,838470169,0.0,3550.48,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,3004101000,25,33,KG,42,62,42,2962,11982130,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,3004201900,11,33,KG,904,1072,904,43898,173106774,0.0,1647.71,12.68,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,3004321100,11,33,KG,85,97,85,20431,81975287,0.0,259.88,16.56,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,3004321900,25,33,KG,176,318,176,9522,38281978,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,3004502000,11,33,KG,125,131,125,3232,12967624,0.0,59.71,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,3004902100,11,33,KG,3312,3645,3312,77862,311273631,0.0,3113.7,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,3004902900,11,33,KG,12068,13760,12068,500027,1973582671,0.0,11812.98,74.88,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,3004902900,25,33,KG,345,528,345,9346,36902971,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,3004903000,11,33,KG,306,322,306,7920,31777099,0.0,146.33,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,3304990000,25,33,KG,10376,12025,10376,364953,1459002247,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,3305100000,25,33,KG,498,560,498,4549,18404319,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,3808941900,11,33,KG,40,42,40,1026,4116579,0.0,18.96,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,3923109000,5,11,U,111,139,137,1112,4368247,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,3926909090,5,11,U,1262,139,137,7000,27496782,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,4901999000,11,11,U,155,50,44,1200,4853782,0.0,1400.0,60.0,982.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,6204620000,11,11,U,766,374,330,13512,53078919,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,6204690000,11,11,U,10,5,4,175,687449,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,6206400000,11,11,U,95,46,41,1295,5085158,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,6212200000,11,11,U,396,135,135,8345,32780240,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,6212300000,11,11,U,60,20,20,840,3299755,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,6212900000,11,11,U,66,23,23,777,3051566,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,7318240000,11,33,KG,66,69,66,1273,5200113,0.0,90.37,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,8421399000,5,11,U,3008,226,220,10036,41083697,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,8471700000,11,11,U,1,1,1,741,3014156,0.0,147.94,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,8481801000,5,11,U,4,139,137,1778,6982518,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,8483109900,11,11,U,4,69,66,3822,15616683,0.0,271.4,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,8483904000,11,11,U,11,69,66,165,674568,0.0,11.72,0.0,0.0
2309,3,239,ECU,3,BOG,11,1,211,1,198,1,8,2,8708299000,11,11,U,1,0,0,5,21570,0.0,0.0,0.0,0.0
