FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
2309,3,249,USA,3,BOG,5,3,493,1,198,1,8,2,603199010,5,11,U,81548,11806,10101,35682,141817794,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,3,493,1,198,1,8,2,603199090,5,11,U,20040,1134,1021,4008,15737773,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,3,493,1,198,1,8,2,604200000,5,33,KG,18,22,18,46,177778,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,3,493,1,198,1,8,2,810905000,5,33,KG,3001,4013,3001,17454,69774955,0.0,4993.9,0.0,0.0
2309,3,249,USA,3,BOG,5,3,493,1,199,1,8,2,1211903000,5,33,KG,27,32,27,105,425645,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,3,493,1,199,1,8,2,1211909000,5,33,KG,2395,2853,2395,8000,32429269,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,3,573,1,198,1,6,2,603199010,5,11,U,990,197,190,624,2450068,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,5,245,1,198,1,5,2,603199010,5,11,U,2830,262,249,1369,5567444,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,5,245,1,198,1,6,2,603199010,5,11,U,47760,6599,6105,24224,98430833,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,5,245,1,198,1,8,2,603141000,5,11,U,27600,1627,1464,4524,17763893,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,5,245,1,198,1,8,2,603149000,5,11,U,2760,130,106,718,2915867,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,5,245,1,198,1,8,2,603199010,5,11,U,112380,15346,12931,48356,190243849,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,5,245,1,198,1,8,2,603199090,5,11,U,13800,813,732,2592,10177721,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,5,245,1,198,1,8,2,6204620000,5,11,U,1962,1058,957,32307,127569861,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,5,245,1,199,1,8,2,6206900000,5,11,U,1062,222,182,12083,47712142,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,149,1,198,1,5,2,603199010,5,11,U,2072,259,242,1001,4049561,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,149,1,198,1,8,2,603149000,5,11,U,140,35,32,129,509382,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,149,1,198,1,8,2,603150000,5,11,U,352,140,126,781,3083145,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,149,1,198,1,8,2,603192000,5,11,U,10980,304,239,1823,7200060,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,149,1,198,1,8,2,603199010,5,11,U,6665,817,645,3707,14744717,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,149,1,198,1,8,2,603199090,5,11,U,3596,1199,1079,7199,28425151,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,149,1,198,1,8,2,604200000,5,33,KG,29,37,29,44,177740,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,149,1,199,1,8,2,3209100000,13,33,KG,37924,40219,37924,178116,728399402,0.0,69.0,997.0,0.0
2309,3,249,USA,3,BOG,5,9,149,1,198,2,8,2,603199090,5,11,U,398,23,14,4,16168,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,1,3926909090,5,11,U,1,40,38,571,2291843,422.46,550.0,32.0,68.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,1,6104430000,5,11,U,965,133,127,11711,47934974,10329.72,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,1,6104530000,5,11,U,250,35,33,4113,16832627,4097.37,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,1,6104630000,5,11,U,400,59,51,2958,12108367,2643.18,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,1,6112410000,5,11,U,14169,1917,1779,177416,718499195,174433.47,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,1,6115950000,5,19,2U,19254,587,514,41726,169548816,33041.51,2109.76,422.63,114.35
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,1,6117809000,5,11,U,190,25,24,1112,4486764,1044.62,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,1,6204420000,5,11,U,4,0,0,66,271778,66.16,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,1,6204430000,5,11,U,210,27,27,2545,10419031,191.91,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,1,6204630000,5,11,U,547,79,73,4220,16918956,1378.71,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,9,169,1,198,1,8,1,6206400000,5,11,U,195,27,26,2075,8492239,902.97,0.0,0.0,0.0
